85	159	121	134
64	132	114	132
77	128	98	134
114	155	113	136
96	112	108	168
105	164	142	135
184	85	110	164
188	141	109	141
115	122	126	143
270	105	125	150
69	127	133	177
251	94	127	157
83	94	128	138
53	102	118	98
226	146	139	137
122	127	127	147
38	100	115	128
206	112	149	143
65	175	109	186
110	159	119	127
139	103	140	150
116	53	110	165
232	109	123	138
177	122	117	152
62	109	117	131
110	84	120	136
116	113	117	163
61	116	123	158
122	114	130	142
165	88	107	145
113	156	121	152
85	140	123	157
356	74	121	143
144	83	128	153
177	109	122	137
123	99	106	152
126	146	129	137
179	125	100	135
74	165	119	136
73	132	122	136
102	139	98	145
228	99	110	133
108	62	120	178
81	107	121	140
152	133	91	150
28	124	107	129
105	141	125	136
170	118	126	135
133	222	153	276
52	115	110	122
134	132	112	114
627	107	119	186
151	113	128	119
143	138	121	141
72	105	124	138
109	105	131	136
160	101	120	134
68	135	124	139
201	69	122	116
36	130	107	152
72	81	124	125
105	128	112	131
106	92	106	137
134	115	115	149
54	65	111	136
110	100	121	135
68	151	114	154
132	128	141	131
129	108	106	149
134	118	136	138
225	124	129	143
106	100	130	137
198	101	98	139
186	69	116	177
133	159	101	120
184	154	117	121
220	101	121	133
338	69	101	162
121	91	118	134
101	111	124	160
38	115	117	145
59	119	97	137
404	94	117	156
31	97	105	149
89	117	107	124
112	105	109	131
160	106	105	152
354	102	102	165
53	104	130	147
52	85	119	109
237	123	114	140
96	132	116	140
211	92	113	161
112	164	112	154
153	149	128	158
117	103	115	152
270	115	115	143
243	149	113	152
130	82	120	166
105	78	115	118
116	74	123	151
489	104	96	145
68	105	96	148
148	100	121	159
99	65	125	127
127	171	115	122
80	107	116	142
152	252	123	184
98	216	117	138
224	120	105	145
145	145	108	139
190	86	111	143
219	67	123	185
29	136	140	152
65	113	102	130
139	88	122	136
54	74	102	168
48	34	120	210
70	114	94	133
122	108	135	149
183	89	118	135
315	159	110	152
215	83	128	161
231	27	102	134
154	72	96	135
70	157	117	142
212	97	102	142
111	109	140	116
38	48	122	117
140	62	104	156
363	114	111	166
184	76	106	160
68	71	124	126
162	69	105	148
117	126	119	119
227	4	111	145
10	154	106	135
310	75	115	128
203	85	116	135
151	32	126	163
180	114	124	148
322	104	110	135
104	104	109	127
261	112	117	106
40	108	119	145
83	110	99	147
212	88	127	124
117	76	113	153
70	104	129	125
174	95	111	132
140	118	98	144
106	118	117	134
249	61	119	140
73	35	119	124
180	196	114	141
186	143	113	179
96	80	121	160
28	115	117	143
44	89	118	135
60	111	135	135
142	189	118	138
210	193	107	157
161	105	111	156
251	112	123	124
252	84	143	139
64	88	119	149
139	68	115	131
100	138	122	120
55	156	132	148
235	90	94	130
367	94	119	196
48	54	109	202
214	69	102	135
169	150	118	145
243	26	115	114
154	97	123	151
228	79	106	147
144	104	130	164
111	161	109	131
102	284	157	233
483	332	116	142
102	66	135	201
116	134	107	172
223	97	97	148
130	100	119	157
148	26	126	123
92	70	117	139
125	48	117	158
88	57	121	130
205	208	116	191
72	89	109	155
362	71	93	120
72	133	108	172
205	89	110	126
161	93	122	122
52	100	144	157
263	185	105	142
22	71	108	155
16	13	145	125
130	122	104	161
284	137	109	159
63	93	95	129
17	87	137	134
60	67	101	162
89	28	103	131
268	82	99	153
150	109	105	130
82	55	113	135
265	88	122	120
411	177	117	200
283	132	113	145
254	91	122	131
124	112	113	138
126	172	109	139
137	120	108	154
185	96	116	156
143	72	117	129
136	84	109	138
76	115	126	114
176	155	107	164
145	133	80	140
118	123	114	134
74	241	112	142
40	76	125	125
187	78	129	136
55	111	144	129
72	147	110	148
252	124	118	154
202	92	99	122
106	108	122	126
129	85	124	152
155	49	115	151
278	103	125	158
106	44	95	155
316	77	100	129
228	110	87	129
39	73	100	142
63	136	118	137
97	126	113	158
114	113	99	137
87	144	105	133
206	136	120	154
112	53	113	120
267	125	123	156
100	78	124	119
113	50	108	104
26	122	112	136
33	98	101	149
29	59	115	113
119	29	95	135
136	58	115	162
164	87	120	92
193	80	114	178
103	110	112	192
130	115	122	181
69	56	120	146
270	241	119	241
263	27	119	177
105	25	109	142
102	124	138	169
13	64	95	158
64	96	143	137
58	74	98	158
20	68	95	131
157	103	146	149
23	75	114	142
178	132	132	160
54	95	136	136
31	25	110	118
112	32	127	124
106	26	113	129
70	104	115	136
43	81	100	136
58	78	131	136
127	178	113	173
108	117	93	141
139	126	118	159
180	93	118	151
135	99	98	163
184	103	119	153
-17	533	94	129
112	121	91	147
121	93	116	133
203	90	113	137
161	17	112	131
60	125	123	152
281	159	147	152
165	114	122	131
133	110	115	185
156	100	120	99
89	80	108	144
35	123	109	109
83	95	113	131
135	104	118	161
73	59	108	129
49	58	107	170
153	90	114	138
433	168	112	200
97	164	127	140
181	139	113	164
334	85	128	144
372	118	108	153
173	360	126	152
130	76	127	163
156	65	106	150
228	121	111	152
150	72	115	132
144	186	116	163
292	141	127	140
90	66	141	175
57	246	137	191
198	108	123	177
133	111	97	143
95	29	116	154
126	96	122	133
136	189	110	152
145	44	100	151
39	61	135	145
75	78	84	158
202	98	111	159
202	111	128	148
115	117	127	103
295	13	111	137
134	116	117	145
181	428	109	141
63	72	88	150
190	82	108	151
481	104	115	183
80	49	125	169
51	108	155	148
128	56	94	147
67	103	113	145
112	73	111	187
84	100	124	136
112	83	116	142
88	94	127	143
101	106	107	154
96	83	127	151
93	95	133	148
57	87	114	129
193	19	115	122
338	99	105	170
142	13	113	146
209	72	112	176
736	107	138	333
218	75	121	163
176	94	105	161
62	104	138	148
30	58	118	137
55	72	132	164
150	56	120	162
57	132	134	144
88	122	107	138
44	79	127	157
842	375	114	154
42	107	133	176
54	113	134	154
113	123	122	164
145	95	157	147
83	72	133	156
117	70	145	111
316	55	125	175
42	85	125	142
183	97	103	162
245	107	103	143
146	147	114	155
180	105	103	148
188	110	117	161
63	77	121	158
187	113	115	152
84	75	110	149
94	63	145	145
28	91	153	123
13	55	115	155
227	82	118	119
69	132	99	134
147	100	118	127
26	117	97	131
29	87	123	153
126	111	104	161
106	113	109	158
131	154	116	179
68	88	98	160
283	51	121	144
70	39	119	152
118	91	110	157
67	52	121	134
142	141	112	148
141	89	125	212
152	84	104	176
19	140	124	144
8	193	129	134
33	82	126	132
110	121	123	149
53	123	111	147
136	122	117	129
123	135	114	123
97	134	148	128
89	100	125	137
125	114	120	145
139	224	137	112
182	50	117	193
134	42	112	160
289	146	115	120
50	103	102	139
218	128	115	171
70	113	106	156
-6	61	94	150
284	94	128	135
5	98	126	135
212	119	106	141
19	116	136	148
228	112	129	142
72	89	120	165
150	110	102	141
143	96	128	128
70	77	127	155
156	148	112	139
137	89	123	137
79	59	110	134
185	144	140	101
81	108	107	136
195	62	94	230
84	68	89	157
205	112	107	113
130	101	107	145
122	67	140	152
100	87	106	127
18	315	88	148
124	42	107	126
129	146	118	186
208	75	110	163
206	212	110	138
25	98	108	131
128	53	107	166
89	66	119	133
167	78	113	144
91	89	120	127
218	93	112	146
87	73	110	136
80	108	106	126
197	181	100	137
191	72	119	150
222	67	109	189
70	109	109	104
119	98	114	123
2	86	134	148
32	187	118	201
122	133	123	158
97	86	107	140
203	117	119	152
35	89	122	126
71	101	124	124
54	59	110	159
185	95	98	135
197	93	132	195
110	139	95	156
300	68	115	160
87	110	112	121
419	55	121	147
151	68	119	154
127	70	113	134
39	98	117	130
51	70	108	130
147	94	114	134
203	135	108	159
126	63	119	159
