85.997	195.41	123.45	148.16	105.65	104.58	171.1	171.78	99.672	182.45	124.87	155.97	113	113.04	169.33	169.48	114.23	169.12	121.84	153.15	135.55	135.77	112.88	165.69	137.5	137.03	138.39	138.39	138.84	154.19	156.99	166.01	166.15	154.98	160.76	158.21	164.19	169.35	172.8	171.27	173.68	164.58	174.63	167.21	178	167.11	170.6	210.66	213.57	213.46	221.34	223.97	229.12	228.67	231.5	238.25	245.36	270.11
65.518	164.49	100.49	124.82	81.556	81.851	146	147.43	72.548	154.99	98.823	128.5	85.591	85.166	141.53	142.52	86.894	141.86	95.777	129.59	109.88	111.5	87.788	140.25	112.2	112.61	112.68	112.95	112.48	138.3	138.94	143.45	143.2	134.08	139.43	135.46	140.21	149.53	151.8	152.9	154.33	144.48	154.44	145.25	155.94	148.7	150.53	189.62	189.52	189.19	198.88	207.35	207.66	206.88	211.46	216.62	224.06	251.45
101.34	203.73	135.02	159.33	117.03	116.59	185.84	185.54	113.1	193.19	137.17	168.94	125.31	124.99	180.33	180.94	124.99	179.93	136.48	161.4	145.33	150.64	130.09	178.87	150.81	152.12	151.79	154.57	155.25	135.29	138.88	145.61	146.41	135.64	141.02	136.84	142.42	149.54	152.37	153.52	152.85	145.4	155.69	147.01	157.21	148.69	151.23	193.49	196.11	193.49	200.44	211.48	211.54	210.94	215.53	217.92	227.65	251.49
126.17	226.01	164.18	182.75	142.83	143.34	208.35	207.98	135.81	216.96	162.24	191.07	149.15	149.09	201.68	205.21	149.41	204.4	160.18	194.17	175.87	176.44	152.83	205.7	177.56	178.49	178.93	178.93	182.11	160.21	155.65	161.97	162.23	153.9	158.35	152.14	156.95	169.98	168.82	171.72	171.96	164.41	175.01	163.29	173.94	168.6	167.83	205.05	205.84	206.29	216.23	223.68	222.72	221.35	226.8	232.24	240.68	264.98
120.09	226.04	164.28	185.05	139.87	139.06	207.29	207.83	132.51	216.89	159.91	190.14	146.24	147.28	202.33	203.99	146.5	201.38	163.33	195.56	179.45	180.51	153.39	206.79	180.54	180.86	181.37	182.05	184.55	144.78	135.15	145.16	143.64	137.33	142.77	132.76	138.42	156.8	150.27	156.98	154.76	149.01	159.85	144.22	155.02	153.45	149.75	193.72	191.7	189.09	199.4	213.84	209.7	209.15	214	218.37	226.88	255.37
128.96	233.39	166.39	193.23	146.83	147.28	214.04	214.68	139.21	222.1	165.75	195.8	153.65	152.26	208.3	209.22	153.01	207.99	165.15	196.75	180.68	179.91	154.13	206.01	180.68	180.82	180.51	180.54	180.89	159.36	160.31	162.45	163.4	154.92	160.11	155.67	161.3	169.77	172.15	173	174.31	163.86	174.95	165.29	176.23	169.01	170.32	210.91	210.69	208.4	219.33	226.94	228.34	226.42	231.83	233.97	242.86	269.34
202.78	299.48	245.53	270.28	217.31	223.46	286.19	287.52	216.31	292.29	238.66	275.23	227.6	228.02	282.02	283.55	228.16	281.41	249.01	284.33	281.19	280.56	239.59	285.53	266.17	266.3	268.19	269.75	273.29	135.08	107.26	125.28	121.22	123.19	129.49	106.99	113.64	143.14	125.8	138.58	129.24	137.05	143.6	124.27	129.61	140.55	126.79	168.88	161.96	161.21	172.65	195.44	183.88	184.55	190.24	197.28	209.11	234.93
192.12	291.89	237.76	253.67	214.01	213.47	274.86	276.68	202.53	283.2	229.6	259.41	216.49	214.04	268.94	270.94	214.34	269.34	230.28	263.58	248.27	247.69	213.98	271.65	246.81	247.12	245.86	245.67	246.92	143.19	141.27	146.39	147.67	139.08	141.1	136.62	142.39	153.62	153.07	155.84	155.03	148.03	158.79	148.11	156.66	152.3	151.75	189.56	187.45	188.15	198.79	206.52	205.95	204.96	209.41	221.79	232.15	254.38
121.45	217.55	155.07	181.43	138.77	138.4	202.44	203.62	128.96	207.81	152.3	181.04	141.66	140.43	193.96	196.24	141.96	196.82	150.56	175.8	162.23	161.68	136.53	183.64	161.01	161.4	161.21	159.6	158.22	123.57	127.65	125.09	126.44	117.13	121.85	119.32	124.82	137.95	142.27	140.31	142.51	132.23	143.22	136.18	147.61	137.16	141.18	171.13	172.89	169.91	180.63	199.5	201.84	190.47	196.14	198.17	206.69	244.31
269.03	373.21	296.68	316.25	283.62	283.85	347.36	342.98	277.45	359.31	299.36	328.17	288.06	285.92	341.49	343.18	289.95	344.79	290.15	322.41	296.18	302.81	286.06	335.95	305.01	305.43	305.79	304.26	305.49	93.044	102.41	103.2	102.74	92.905	100.48	93.967	102	109.65	117.63	113.93	118.13	105.27	117.54	109.44	122.52	111.19	115.43	153.35	155.08	149.78	163.05	176.83	181.35	174.16	180.33	182.07	192.93	222.8
